,comment
485,С Новым Годом!
486,Надеюсь это было последнее его поздравление.
487,"-в туалете поймаем террористов,значит в туалете их замочим!"
488,"Президент состоял в компартии РСФСР, но нарушил партийную присягу. Из коммуниста превратился в капиталиста. Как,  впрочем как и многие другие. Но многие другие не есть президенты. "
489,300 лайков с накрутками. Рейтинг просто рвётся из трусов
490,"Каждый год жду слов ""я устал я ухожу"""
491,Используйте этот коммент как дизлайк
492,"Когда увидел Путина с его поздравлением, первое что сделала моя жена это попросила меня в отчаянии - МОЛЧИ ! Не порти праздник"
493,"Лунтик уже давно живет в другой стране со своими друзьями, уж точно не там где обычные граждане"
494,"Я думаю, що українці теж хочуть жити мирно з росіянами. А це можливо тільки при взаємоповазі. Така правда."
495,"Люди оставляют такие комментарии как будто и не рады совсем, что в России проведены успешные испытания сверхзвуковой ракеты ""Циркон"""
496,как надоела двадцатилетняя ложь.какую экономику воsтановили?
497,Это был тяжёлый год...
498,"Заметьте, ни о каких реальных достижениях в экономике, культуре, промышленности ни слова))))))"
499,Владимир как всегда держит марку 👍
500,"Одни слова как всегда. И кстати, что у него с животом? Что-то торчит под пальто, как буд-то Крэнг сидит внутри))"
501,"У меня был как обычно последние 12 лет  хороший год. Жаловаться вообще не на что. Спасибо судьбе за все. Очень надеюсь, что следующий 2022 будет ещё лучше !"
502,Показывала фак все выступление этому плохому человеку
503,устали все от тебя
504,"... Каждому человеку Новый год приносит, даёт, дарит только"
505,"Недожравшие,  пишущие с айфонов и планшетов выше 70к - с новым годом вас! У вас впереди будет непростой год - впрочем как и всегда.Для вас будет всё еще хуже - надеюсь, что это позволит иммигрировать вам и Россия вздохнёт от таких как вы!"
506,6:49 путин чешет нос
507,"Владимир Владимирович, с Новым годом!!! Многие люди желают Вам в этом году  не проливать кровь. Пусть Бог вам помогает в умных решениях!!!! Здоровья всем, мира, и быть всегда в здравом уме"
508,Чел который украл 20 лет у страны
509,"Раз уж ютую отключил Лизы, то Используйте этот коммент как дизлайк!!!  Прошу отнестись к этому с пониманием!!!!!!!!"
510,Жаль Ютуб дизлайки отрубил
511,"ввп , ты как всегда в своем репертуаре , но нельзя так постоянно врать, постоянно обманывать, строить из себя ""добряка""но не верим мы твоим мудовым рыданиям , все это ложь и вранье особенно про экономику"
512,"Радует одно, что я переживу его и увижу наконец то нового президента"
513,По моему в эти басни уже мало кто верит...
514,Очередное пустасловие о плешивого чикиста). Надеюсь ему переподёт по заслугам в этом году....
515,Володя молодец! Дай Бог тебе здоровья!
516,"Я устал, я ухожу, вот чего от тебя ждут, а не очередного бла бла бла!"
517,"Уже 20 лет только и думает о благе народа!!! Прямо слеза прошибает, как его на экране телевизора увижу!😂😂😂"
518,"Я каждый год жду когда же он скажет, я ухожу !"
519,Я так и знал что он пол обращения начнет про ковид болтать
520,СпАСИБО! 🤔👏
521,Молодой энергичный. Настоящий президент для стариков
522,"Он своим правлением загубил больше людей че Сталин, желаю ему тихо уйти"
523,Россия будет свободной!
524,"Коментарии помоему, дают очень точную картину происходящего, настоящее отношение народа  к..... Даже со скрытыми дизлайками.."
525,"Судя по речи, он начал понимать, что стул шатается"
526,Просто выключил звук у телевизора. И так понятно что он скажет.
527,Молодец. Россия великая страна!!
528,С новым годом дорогие 🎉
529,Благодаря его власти я этот год встречаю в другой стране. Пёс.
530,Здоровья усопшим
531,Диз не глядя
532,"Красивое поздравление от любимого президента. Горжусь нашей страной, что даёт такие возможности. А ещё в Москве красиво, но во Владивостоке красивее). Всех с праздником, здоровья, любви, жизненного благополучия и удачи в новом году!"
533,"Молодец, хорошее поздравление, хорошо поздравил. Люди один человек не сделает все для вас, поднимите свою пятую точку и работайте уже, а не пиво каждый день. Создавайте свою жизнь, а не ждите что вам все принесут. Делайте уже что нибудь сами."
534,"Роллс- Ройсы правда подешевеют? 🤣🤣🤣невозможно уже его слушать, всёёё,"
535,Как не стыдно данному персонажу вообще что либо говорить . Уровень жизни в стране с каждым годом все хуже и хуже . Кровосос!!!!
536,Надеюсь это последний раз
537,Слава Україні 🙌
538,"С новы годом Россия, с наилучшими пожеланиями из Украины."
539,Новогодние обращения пересидента - лучший способ узнать его НАСТОЯЩИЙ рейтинг.
540,В конце сопелька потекла…
541,"С Новым годом русские люди, какой бы национальности Вы не были! Здоровья, благополучия и мира на земле! Здоровья и благополучия Президенту, потому что благодаря ему  на земле есть надежда на мир! Здоровья и терпения всем нам!"
542,Этот комментарий можно использовать как дизлайк✨
543,Дедушка мороз 🎅  забери этого плешивого к себе !!! А то твои подарки к нам не доходят!
544,"Желаю президенту того же , что произошло со мной за последние годы"
545,"Великая Россия, С Новым годом!!!!!! 🎄"
546,Решили опрос людей провести? Кому то там ещё не очевидно?)
547,"Мог сократить весь свой ""важный спич"" до минуты и не тратить столько эфирного времени. На эту воду смотреть бесконечно не получается"
548,Теперь я понял почему на Ютубе скрыли дизлайки.
549,"Слушать лень, он сказал что в отставку уходит?"
550,"Самый мощный , умный , достойный Президент.  Дай бог вам  здоровья . Все правильно делайте , Удачи вам и крепких нерв . С Новым годом 🎁🎉🎊🎈🍾🎄🎆"
551,Убийца...
552,Любви и благодарности...
553,Вовка молодец. От душы за поздравление
554,"Этот бутафорский персонаж и телеканалы будут показывать пальцем кто враг, а кто друг."
555,"Спасибо нашему Президенту за такое тёплое, мужественное и душевное поздравление 👍 "
556,Пролистал комменты для интереса минут 10. Не нашел ни одного позитивного. Это же вроде как лояльный власти канал задумывалось 😂
557,Используйте лайк под моим коментарием как дизлайк этому видео).
558,"Ну норм, что то новое, явно год хороший будет.  С новым годом всех."
559,С новым годом Владимир Владимирович 🤝
560,путину здоровья! чтоб подольше сидеть в тюрьме.
561,Великий человек. Человек-вселенная.
562,хорршо что я проспал этот момент
563,Комментарий для дизов)
564,Славься Отечество наше свободное!
565,"Жму руку человеку писавшему текст. Невероятно человечно, спасибо тебе, всё в самое сердце."
566,"Интересно, если с экрана удалить весь ботокс, много ли там останется?"
567,"Поздравление Зеленского,куда искреннее и душевнее! В Украине поздравление мне куда больше понравилось"
568,Был бы классно если бы сказал я ухожу в отставку
569,"Одно и тоже, херня полная"
570,"Не стал слушать, просто загадал желание"
571,Наснимали на года вперёд и выпускают черти
572,"Желаю путину ""добра, счастья,радости"""
573,Всех Наших с Новым годом 🌲🎉🇷🇺
574,У меня ощущение что это робот а не человек🤷‍♀️
575,Спасибо Володя. Здоровья тебе
576,С новым годом!
577,А чё пузатый такой? Три бронежилета одел?
578,"""Пусть рождаются дети!"" - как это красива сказано, и как это важно!"
579,Поздравляем россиян с Новым 2022 Годом ! Желаем всего доброго и светлого в наступившем году !! Мира и процветания !!!
580,"какое президент такое и поздравление!  0 уважения к народу, снял 100 поздравлений на многие годы вперед и все! "
581,"Сколько в комментариях потенциальных власовцев. :) Кто разбирается в достаточно общей теории управления, тот знает сколько сделал для будущего страны этот человек, гениальные стратегические решения которого через много лет войдут в учебники. Развивайтесь, образовывайтесь, становитесь властными. И тогда у нас получится пройти русским путем, путем справедливости и поступков по-совести. Не слушайте тех кто бездарно повторяет чужие шаблонные оценки, разбирайтесь сами, лично."
582,"Желаю Путину закончить, как классический диктатор (как Кадаффи например)"
583,Вор уходи!
584,В бронежилете обращается к народу так ссыт...так через зомбоящик  пуля не прелетит)
585,"Годное обращение получилось! Посмотрел полностью, впервые за лет за десять. Всё сказано по делу. А те, кто ставит дизы, и высерается не по делу - сссссссссссскоты)))"
586,Чемодан - вокзал - Гаага!
587,"я так захожу в курник, петуха выбирать... три красавца-моща! пока успокаиваю разговорами(себя), куры собираются возле самого пиздливого... и рок судьбы(холодца) ложится на того, кто кинется на защиту этих вот кур. а куры курами,..понимают)"
588,Поскорее бы эта форма жизни загнулась
589,Зашёл почитать комментарии и поставить дизлайк
590,"Я живу в Австрии много лет и я обожаю Россию и наш народ! Я могу получить австрийский паспорт, но для этого мне нужно отказаться от русского. Я не смогу это сделать, потому что я - патриотка своей страны, но не правительства и президента. Мне стыдно, что они творят! Русские люди - самые добрые, интеллигентные и сильные! Меня боятся в Австрии, серьёзно😂 Просто сам факт, что я принадлежу этой нации! Я горжусь своей страной и народом! С новом годом, дорогие! У вас всё получится! Потому что мы… СИЛА!💪🏿"
591,"2ляма просмотров, интересно сколько дизлайков?))"
592,"С Новым Годом любимая, прекрасная, страна! С Новым Годом нас и нашего Президента, сил нам всем и счастья! А несчастные тролли вышли и гадят, когда россияне празднуют))))"
593,"Прочитал все коментарии и понимаю что писали те кому наболело и кто живет не очень хорошо в Росии но надеюсь что не все россияне такого же мнения о Путине. Лично мне как гражданину Украины кажется что хоть как не плох Путин для россиян которые тут написали коментарии но он намного лучше того мракобесия которое творитсяу нас. Видеть стакан на половину полным характерно для таких негативно настроенных людей, но много чего доброго и позитивного сделал тот вам ненавистный Путин и он правильно сказал что когда человек обзывает инного это все навсего тот человек видит себя в зеркале, это плохая сущность говорит за нас о самих нас же.Желаю России и Россиянам мира, добра и процветания! Путину сил и здоровья для сдерживания международного фашизма и геноцида еврофашистов!"
594,Пархай как бабочка.
595,Здоровья президенту!!!!! Пусть правит!  Слава царю и слава богу за его правление!!!! Время действительно непростое. Только Владимир Владимирович нам поможет и наполнит повседневную жизнь и улучшит наше благосостояние. Ура товарищи!!!!!!
596,Почему боты не наставили лайки?! - вот она чертовщина то какая🤧
597,Перхоть в бронежелете
598,С каждым годом благодаря нашему президенту жить в стране все лучше и лучше.И обращение все краше да мощнее.Я даже немного пукнул от удовольствия просматривая его.
599,"Дорогие украинцы, желаю чтобы в следующем году Вас окружали только вежливые люди."
600,"дизлайки отключили, теперь можно и путена показывать"
601,Полностью поддерживаю нашего верховного главнокомандующего! Спасибо Владимир Владимирович!
602,Это был трудный  год.... как и предыдущие двадцать лет и следующие двадцать лет будут.
603,"Лайк, если огорчён что не видно дизлайков?"
604,С Новым 2022 Годом Великая Россия!!!!!!! С наилучшими пожеланиями из Украины.
605,"Сколько негативных отзывов 🤦‍♀️, а мне нравится Путин! Кто в нашей стране был лучше его? Может Ельцын? Может Горбачёв? Или может Ты будешь лучше править страной? Только Путин, он лучший президент России!"
606,Владимир Владимирович  желаю вам скорейшего и скоропостижного отбытия в мир иной. в новом году
607,"Владимир Владимирович, спасибо за все!"
608,ВИЙ-2022
609,"20 лет одно бла, бла, бла, Вова уходи!!"
610,"царь-батюшка ты наш,самым лучшим новогодним подарком будет твоя отставка от должности президента рф,многие россияне давно уже ждут,не дождутся,ну когда же наконец нас будет поздравлять новый президент!"
611,блевать тянет уже от этой наглой рожи
612,"У троллей была трудная ночь, но не бесплатная"
613,Нет пророка в своем отечестве.Россияне не ценят что имеют.Здоровья и сил тебе президент России.
614,Надо ютубу плохих оценок наставить в маркете за отключение дизов
615,"Желаю В.Владимировичу здоровья и сил ,в его нелёгкой стезе"
616,Шойгу в Горбатой Тайге ему засадил.
617,Лицо как у покойника
618,"Долгих лет Президенту !!! ❤️ Россия - шикарная страна, и президент мудрый с головой на плечах 🙏🏻🙏🏻  мы прекрасно живем, а кто жалуется - просто не ленитесь!!! А действуйте ⚡️"
619,Дай Бог здоровья Владимиру Владимировичу !!!
620,Разжирел в бункере на казенных харчах и неподвижного образа жизни
621,Дорогой любимый Президент самой лучшей страны!!! Желаю Вам крепкого здоровья на долгие годы! С Вами- жить спокойней!!
622,"Дед, не ждём мы тебя в 2022 и в 2023. Заканчивайся уже быстрее"
623,Вали старый в деревянный макентош 😎😆
624,"С Новым Годом!!!! Здоровья, мира всем!!!"
625,Желаю в новом году США и Евпропе получить эконоический кризис и голод похожий на 1991 в России. Для баланса и демократии так сказать.
626,"Все очень показательно. Одни и те же слова надоевшего всем деда. Ютуб, где количество дизлайков?? Сделал бы нам праздник и объявил, что уходит."
627,"посмотрел я поздравления Лукашенко, Тихановской и Путина. Путин единственный человек, который поздравил людей с праздником. Вот поэтому он у реальной власти, он знает что и когда и как сказать."
628,Не стал слушать бред идиота. Скажите:а про печенегов и половцев он упомянул?
629,Жаль росиян
630,"Народ  не благодарный. Все равно сколько добра не делай, спасибо не скажут."
631,Мерзость...
632,"Забавно. Тупых хейтеров даже не волнует, что все, кому надо давно посмотрели обращение по тв, и им нет нужды делать это на ютубе XD"
633,Сколько нытиков:D
634,"Желаю чтобы узурпатору в этом году подарили веревочный галстук... И да, дизлайк конечно!!!"
635,"надеюсь,  новый год будет лучше (Эстония )"
636,Ураааааааа!!!!!!!!!
637,где мои пенсионные накопления
638,С наступившим Новым годом!Долгих лет жизни лучшему Президенту!
639,Желаю всего наилучшего Владимиру Владимировичу. Всем городом сейчас желаем этого.
640,"Вообще противно смотреть,  смотрю 1числа утром, потому как в новогоднюю ночь не хотел слышать лож, фальш, от этого гнусного человека."
641,Здоровья Вам  Владимир Владимирович!!!!!!!!!
642,У него бронежилет или он объелся оливье уже
643,6:48
644,"Тут в основном ""великие шумеро-копатели"" комментируют,поэтому создаётся вид  якобы много россиян против своего президента."
645,я одна люблю Путина и как никто другой уважаю и ценю его ?
646,Ура наконец закончился 2021 год
647,"С новым годом товарищи,Россия-Путин-МИР"
648,Комменты просто пушка👍
649,Смотреть не могу на эту физиономию.👿👿👿!
650,"Владимир, здоровья вам, вы спасение..."
651,Тьфу на вас. Со всеми утинами уютинами
652,В 90.е он сумел 
653,Очень сильная речь! И вас с праздником Владимир Владимирович!  Всех с Новым годом!!! Всего наилучшего желаю!🎆✨🎇🎆✨🎇🎆✨🎇🎆
654,Долой самодержавие! Вся власть Советам!
655,"Обращение великолепно! Лучший президент! Спасибо, что вы с нами, Владимир Владимирович Путин! ❤️"
656,"Бла бла бла, когда же он уже уйдёт, регионы выживают, зарплаты копеечные. Деградация во всех сферах."
657,Вызывает рвотные позывы
658,Дядя Вова мы с тобой !!! Крепкого здоровья тебе !!
659,С новым годом Всех .Добра и счастья и немного ума.А также терпения Путину..Тут экспертов внизу немеряно.И пишут такую чушь ..
660,"Мне понравилось выступление Путина. Искренний, душевный человек!"
661,Здравие и долголетие нашему Президенту!
662,Робокоп какой-то. Что у него из груди торчит? Или это с помощью нейросетей видос запилили?
663,"Словесная вода , при том застоявшаяся !"
664,"Таких друзей за х.у в музей! А своим жополизам позвонил бы им по телефону, да поздравил. Нахрен на всю страну вешать на протяжении 20 лет о сложных годах? Президент или кто? Поставь профессионалов ответственных на руководящие должности и решай проблемы страны, а не сопли пережовывай из раз в раз."
665,А почему без маски ??
666,Кремлеботы спят что ли? Ни одного положительного отзыва.
667,Спасибо Володя 👍
668,Не о чём. надоел за 20 лет.
669,"Дед совсем поехал, надеюсь в этом году будет трибунал для него,  и для его окружения тоже"
670,....какое лицемерие....дальше смотреть не буду....
671,""".....всех людей объединяет надежда на добрые перемены....."""
672,Тоже дизлайк ставлю 
673,"Как всегда,,год был нелегким""и так с 2012года,даже пластинку поменять не хочет,неприятно смотреть..."
674,Читая комментарии думаю не всем промыл мозги этот режим
675,Уголовник
676,"Фашизм не пройдет ! .... Враг будет разбит, победа будет за нами."
677,Комменты говорят сами за себя ) 
678,Рецидивист.
679,6 ТЫСЯЧ ДИЗДАЙКОВ ВОТ ЭТО ДА
680,Просто это очень плохой человек. И после обращения он йдет в свой дворец кайфовать в бассейне.
681,"бобриха закрывай комменты пока не обгадилась , так-же как в том году орт с ртр :-)))))))))))))))"
682,"Картошка УЖЕ деликатес,что дальше?"
683,Решили экономические проблемы 😂
684,На Чорта похожий !!!
685,RT рискуете ) что открыли комментарии !
686,"Популярность растет, но только в другую сторону ..."
687,Жалкий старик
688,"Не смотрю лет 10 , я многое потерял?"
689,ха ха. ботофермам меньше работы. дизлайки не нужно убирать
690,"Такого вруна - правителя Россия еще не видела в своей истории.Желаю ему суда и следствия, и справедливого приговора!"
691,Даже на новогоднем видео в бронежелете??? Даже свое окружение так достал?) Вали уже и забери всех своих друзей!
692,Скоро коментарии закроют
693,"Ochen nadeius, chto sleduischee pozdravlenie prezidenta etot jirnyi karlik budet smotret iz tiurmy, vprochem on sam etogo i hotel - pozmotret pozdravlenie prezidenta - mechta sbudetsia, esli narod postaraetsia!"
694,"Эх, дизы уже закрыли. Чтож, отмечусь по старинке)"
695,Диз! только диз!
696,Мишустин выделил деньги ученым на исследование ада. Это о чем то говорит.
697,Читаю комментарии и понимаю насколько у нас темное село многие. Хорошо что не большинство
698,Обещалкин-твоя фамилия
699,1.5 тыс лайков при 61 тыс поосмотров... хм интересно неужели 60 тыс никуда не ткнули)))  не скооеш это..понятно что дизов просто адово
700,Жесть какая информационная обработка идет на ютубе)) с кучей не настоящих комментов. а потом приходят обычные дурачки - видят это и  покупаются за фунт изюма
701,Почему комментарии не закрыты?
702,"Убрать все антинародные законы,засеять всю не вспаханную землю,картохой,моркохой,свеклой,луком... и у людей будет жратва,и здоровье,И РАБОТА."
703,В короткие сроки восстановили экономику... В какой матрице он живет?
704,На нём чё? Бронежилет? Хахахах
705,"Сразу показалось, что у ВВП с правой рукой что-то случилось. Упал, сломал? Вон как пальто внизу груди топорщится, аж пуговицы трещат. Но к окончанию выступления он поднял правую руку в кадр. Тогда, что же он прячет под пальто? Bierbauch (пивное пузо) обычно ниже."
706,Существо высказывается. Прошу всех встать.
707,"Господин пересидент, оставьте уже страну и народ в покое. Карманы набили по самое горло или все мало?"
708,А в комментариях народная Любовь
709,"Когда ты уйдешь, так достал!!! Не могу тебя слушать!!!"
710,Зашёл поставить диз. Вчера из каждого утюга вещал с выключенным звуком!) тяжелые годы уходят за ними приходят ещё тяжелей! Позор
711,А что с животом-то у него? Беременный войной?
712,Под пальто бронежилет?
713,Владимир Владимирович от души!!!) подарите мне квартиру в Мичуринске
714,"Симоньяша , че бабки все разворовала , даже ботов своему хозяину не можешь накрутить?"
715,Вор
716,"Включил ЭТО без звука, только ради того чтобы почитать комментарии. Скоро и их заблокируют. И останется кипящий чайник без единой щелочки."
717,Электронно пиксельная говорящая голова .
718,"Этот спектакль никому кроме путина и его ближайшего окружения , не нужен"
719,"Мужик то молодец, презедентом стал...."
720,"диз, - жаль отписать ся нельзя от этого всего"
721,"Комменты ещё не настоялись, зайду позже."
722,"Раньше хоть комменты закрывали, боялись, а теперь последнюю совесть и стыд потеряли, хоть пиши хоть не пиши, плевали они на мнение людей, все все уже понимают"
723,"На НТВ столько же просмотров, а лайков еще меньше. 😀"
724,диз не глядя
725,"Хорошо сказано!  С Новым годом вас, Владимир Владимирович!"
726,Дизлайки то зачем закрыли при открытых комментариях. Смысл? Что бы найти положительный комментарий ещё надо постараться. Типо без дизлайков не понятно ничего.
727,ПТН-ПНХ
728,"Дедушка дед мороз подари мне работу с достойной и стабильной зарплатой,на блюдце с голубой каемочкой!🎅"
729,Показывали бы дизы. Сто пудово зашкаливают
730,"Вот вы троллите деда, а он возьмёт и поднимет росию с колен в 2022-м году!"
731,Свободу Алексею Навальному!
732,Когда же ОНО уже засохнет
733,"Лайки этого комментария, это видимые дизлайки, лайкате (дизлайкайте) господа и дамы"
734,За 20 лет научился  говорить обо всем и не о чем.
735,Когда же ты уже не будешь желать нам нового года..
736,Сколько можно слушать это вранье и лицемерие!? Пустые обещания...
737,Верни мой выход на Пенсию в 60 лет🧭🧭🧭⚠️
738,"Сверхразумы которые голосовали в прошлом году за поправки в Конституцию РФ, вас всё теперь устраивает? Всё пошло как надо, всё нравится?"
739,"Почему под новый год пенсионерам 10.000 не дал а разговор был об этом , эх Володя =(("
740,Зашёл оставить дизлайк. Спасибо)) с Новым Годом!!
741,Вор обнуленышь мы все помним! 
742,"Зачем отмечают новый год? 22 год будет как 21 год. Ах ты посмотри как раша хороша, березку посажу, вот и все планы, посадите везде березки родненькие"
743,"ПЗДЦ че за срач в комментах. 🤣 я уверен, люди которые по 500к в месяц зарабатывают тоже его критикуют."
744,Желаю чтоб следующий год уже оно не поздравляло россиян.
745,А у Лукашенко мы выстояли😂
746,"С новым годом всех! ""Король дизлайков"", хоть и убрали дизлайков, он им и остаётся! Желаю, чтобы это было бы последнее выступление пыни! Хватит! Надоел! Все ждут от него слов "" Я ухожу! """
747,🐾🐾
748,Чё-то  пузико подрасло у нашего воеводы)))
749,Такое впечатление что голову отдельно на туловище наложили .монтаж.
750,С новым годом Россия и Узбекистан
751,Даже смотреть не буду 20 лет одно и тоже. Тошнит уже от этой рожи.
752,Только включить и сразу же стошнило) жирный жирный диз держи!
753,Аве император!
754,Позор России!
755,"Сколько еще лет ,лапши на уши вешать,еще пару ух отращивать надо."
756,"каждый год одно и тоже, пытаетесь количество дизлайков  увеличить?"
757,"Поставь сюда лайк ,если тебе не понравилось видео"
758,"Чуть немного по другому сказал про непростой год, 30 лет не простые года, когда уже когда?"
759,"Зашёл дизлайк поставить, это единственная возможность выразить свою гражданскую позицию."
760,Че дизлайков то нет?
761,"Где руки то, он что в смирительной рубашке."
762,"...прямь новогодняя история из сказки, как питерский таксист из 90-ых стал президентом ,страны, уссаться...:-)))"
763,Уходи
764,Чтоб плешивый одел деревянный макинтош
765,Это не поздравление а смесь кефира коньяка и кофе.
766,Бла бла НАТО бла бла угроза бла бла трудный год бла бла волшебство бла бла вы самы лучший народ бла бла долг бла бла успехи бла бла благосостояние граждан...
767,Надо ещё 30 лет потерпеть🤣 когда олигархи станут еще богаче а нселение ещё беднае
768,Пора поменять несвежего Вову на свежего
769,Раковая Опухоль обращается к Здоровому Организму!
770,"А что, Бобриха не проплатила кремлеботов себе?"
771,Позор России!
772,"Диз. Нужно еще немного потерпеть. Прошу отнестись к этому с пониманием, если коротко"
773,Поздравление на репите) сбой матрицы
774,Return YouTube Dislike - это расширение дает возможность смотреть и ставить дизы
775,Только так убирают неугодные комментарии. Скрывают от Вовы народную любовь.
776,сразу дизлайк даже не смотря эту х...ю
777,На 12 00 по Москве
778,"Снова упадут цены на нефть и газ, и кизда успехам."
779,"Когда мухожук, кучерявый в бронике?"
780,Какой народ такой и призедент!!!
781,"Не понял как ютуб выводит в тренды. 50к просмотров, 2к комментариев, на соседних местах ролики с показателями х10, прогиб под вову"
782,"а они в курсе вообще, что существует расширение для хрома и дизы мы видим, комменты тоже... За что эти гопники в РТ зарплату получают?"
783,А че дизы скрыли? Не смешно да? Это Россия!
784,Скоро Симонян и коменты прикроет ))))))) 😄😄😄
785,Используйте этот комментарий как Дизлайк
786,"Короче ""этот год был непростым"""
787,Используйте этот комментарий как Дизлайк
788,😂 УМЕРЛИ СОТНИ  ТЫСЯЧ ГРАЖДАН РОССИИ от ПАНДЕМИИ И НИ ОДИН РЕГИОН НЕ ОБЪЯВЛЯЛ НАЦИОНАЛЬНЫЙ ТРАУР - УРА ! 😂
789,"уже достал ты , со своей рожей"
790,"Все понятно, что ни чего не понятно."
791,"И вся королевская рать не может, не может комменты исправит))))"
792,Сказочный
793,Обращение не имеющее аналогов в мире!🤣
794,Каждый год одно и тоже…
795,В23:45 ушёл спать. 😴
796,"Почему дизлайки отключили, ОТПИСЫВАЕМСЯ"
797,рука сломана ?
798,"Не могла сдушать обрпщенте ввп, трубец: он лжец и обманщик. Нас опять ждет повышение оплаты ЖКХ, увеличение цен на все, отсутствие медицинской помощи. Урод!!! Он несет вред моей дорогой стране и мне лично, качество жизни в моем окружении ухудшилось в разы"
799,Родина свобода Путин 🇷🇺
800,Лицемерие🤮
801,Пугабе закройся в своём бункере! Навсегда!
802,Ребята! Теперь нам точно хана!
803,🤮🤮🤮
804,Кто писал текст поздравления Путину? У Президента с каждым годом поздравления выглядят всё хуже и хуже. 
805,Ужасс ниже нуля
806,"Каждый раз как в первый раз и так 20 с газом лет, лалалалалалалала"
807,Какой народ такой и правитель
808,Король дизлайков на арене цирка
809,Убийца!!!
810,Желаю чтобы в 2022 бумеранг вернулся!!!
811,Вор
812,"Уберите этого преступника, его уже в международном суде ждут, чтобы ответить за войны, трафик героина тоннами, отравления, убийства"
813,Достижения за 2021 год - Путин поймал карандаш!... Всё.
814,бла-бла-бла ))
815,"Как и следовало ожидать,весь уклон идет к коварной болезни и все проблемы от нее."
816,"Некчёмное, старое, плешивое, мелкое, пустое место."
817,Где мой комментарий?
818,Очень слабое поздравление слабого президента
