,comment
435,Спасибо! Мы вас любим!
436,Екатерина спасибо вам . С Новым Годом 
437,"Без 15-ти двенадцать зашла на ваш канал посмотреть обращение. Его ещё не было (я из Новосибирска). Смотрю уже в 2022 году. Что-то слезы выступили, то ли от красного вина, то ли от моей впечатлительности. Здоровья всем нам и вознаграждения наших усилий в этом 2022 году!"
438,Счастье и процветания и всём нам свершения наших надежд!
439,"С наступающим, Екатерина Михайловна! Уже несколько лет смотрю Ваш канал. Не устаю удивляться Вашей способности выделить главное, заметить и объяснить то, что действительно важно, критически анализировать то, что кажется очевидным, а на самом деле является очередной иллюзией информационной эпохи. "
440,Лучшее поздравление! С Новым годом 
441,"Россияне достойны такого поздравления. Спасибо, Екатерина Михайловна. Очень нужна именно такая планка. Будем расти."
442,Новогоднее поздравление здорового человека!
443,"ТОЛЬКО ЕКАТЕРИНА МОЖЕТ ТАК ТАКТИЧНО ПЗДРАВИТЬ С НОВЫМ ГОДОМ, ОПЕРАЯСЬ НА ДАТЫ!!!"
444,"Надеюсь, это станет ежегодной традицией!!))"
445,"Куда более содержательное и тёплое поздравление,  чем у кое-кого. Даже новогоднее настроение появилось. Спасибо Вам за большой труд!"
446,Спасибо! В тему!!!!с Новым годом!
447,"Уважаемая, очень женственная Екатерина Михайловна, в этом году Вы покорили меня! Спасибо Вам за Вашу работу, за гармонию и красоту! С НОВЫМ ГОДОМ ВАС! УДАЧИ И УСПЕХОВ ВАМ!"
448,"Очень точно сказано. Это всегда актуально, а сейчас просто на злобу дня"
449,"Какое счастье, что у нас есть такой человек! Будем живы, значит!"
450,"Президент здоровой страны, спасибо!"
451,"Ну это прям спасение какое-то, честно сказать весь день думал, как не смотреть деда и что смотреть вместо него?!!"
452,"Это просто невероятно. С наступающим, граждане!"
453,На последних словах слёзы навернулись. Как точно сказано! С Новым годом всех! Не отступаем!
454,"Ай,умница,! Спасибо Екатерина."
455,Это просто лучшее поздравление с Новым Годом! Спасибоза все! Счастья!
456,Наилучшие пожелания Екатерине и Михаилу! Спасибо за ваш труд!
457,"ЕМ, с новым годом и спасибо за все, что вы делаете!!!!!!!!!!!!!! "
458,"Какое приятное и вдохновляющее поздравление! Спасибо, Екатерина Михайловна)"
459,"Дорогая Екатерина Михайловна, надеюсь, что в следующем году Вас не признают иноагентом! Здоровья  Вам и Вашим близким!"
460,"спасибо Екатерина Михайловна, это те слова которые хотелось бы слышать"
461,Самое лучшее поздравление которое я слышал в этом году.
462,ВдохНовЕние ! С Новым годом!   Исполнилось желание получить Чудесное поЗДРАВление !
463,"Екатерина, спасибо за все"
464,Лучшее поздравление!
465,"Самое главное обращение 31 декабря! С наступающим, Екатерина Михайловна!"
466,"Хочу, чтобы это поздравление вся страна смотрела по федеральным каналам!"
467,Большое спасибо) С новым годом!
468,Данное поздравление буду ставить еженедельно на прослушивание! Спасибо!
469,"С новым годом!!! Екатерина Михайловна, вы наш путеводитель в мире политологии, вы кудесник наших душ"
470,Спасибо! Нужные и великие слова!
471,"Такие живые слова. Екатерина Михайловна - такая настоящая. Правда хочется, чтобы все жители страны это видели перед курантами. "
472,"Прекрасное отражение, Екатерина! Смотрели с Оливье ) в 23:55. "
473,"Дзякуй вам вялікі з Беларусі! За вашу працу, за ваш аптымізм!"
474,"Уважаемая Екатерина Михайловна! Великий Гёте И.В. присоединяется к Вам: «Я предан этой мысли! Жизни годы прошли не даром, ясен предо мной конечный вывод мудрости земной: лишь тот достоин жизни и свободы, кто каждый день за них идёт на бой»!"
475,"Мои наилучшие пожелания , здоровья и успехов в Новом Году , Екатерине Шульман , профессионалу мирового уровня и прекрасному человеку !"
476,Спасибо за мотивацию
477,"Екатерина, спасибо большое за то, что Вы есть и за то, что вы делали, делаете и будете делать"
478,"Какой хороший знак. Именно это пообщелала себе в конце года, как цель на 2022 и ввязалась в борьбу на двух фронтах. Быть настойчивой в защите своих интересов. Спасибо! С Новым Годом! Очень любим и ценим вас!"
479,"Ура! Спасибо за все что вы делаете и подсказываете, что можно делать нам"
480,"Офигенная разница в новогодних обращениях, этом и ""том""."
481,"Счастливы были увидеть Вас до боя курантов! Вам - мира в душе, уверенности в своем праве,  счастья детям и с детьми!!"
482,"Включил ваше обращение вместо президента, вас слушать намного интереснее и в вашем обращение есть смысл"
483,"Ютуб скрыл дизы, но даже по соотношению просмотров и лайков у незаконно занимающего пост (и особенно - по коментам) можно догадаться, как его любят. И примерно в 20 раз лучше у Екатерины. "
484,"С новым годом, Екатерина Михайловна,вас и вашу семью))) всех благ"
485,"Екатерина Михайловна, спасибо за поздравление!"
486,Спасибо вам большое Екатерина Михайловна!
487,"Слушала поздравление королевы английской и нашей королевы - Екатерины Михайловны. Елизавета говорила о детях и семейных ценностях очень просто, тепло и душевно. Екатерина Михайловна говорит о твердости и несгибаемости, о чести и достоинстве - как хороши оба выступления, как кстати и как они поддерживают нас в наши «тридцать седьмые». Здоровья Вам, уважаемая Екатерина Михайловна, мы с Вами, Вы - наша совесть и мужество, высочайший интеллект и культура, Вы наше будущее; пьём за Вас, за мир во всем мире"
488,Спасибо! Екатерина за вашу альтернативу путятиновскому обращению.
489,"Екатерина и Михаил, с Новым Годом!"
490,Ekaterina Prekrasna. Thank YOU so much...
491,"Спасибо, Екатерина Михайловна! Всего Вам самого доброго!"
492,Всем здоровья и терпения! Все будет хорошо!!!!
493,Лучшее обращение!!!
494,"Екатерина Михайловна, спасибо вам!"
495,С Новым годом Екатерина Михайловна! СПАСИБО ВАМ!!!
496,"Спасибо, Екатерина Михайловна!"
497,"Екатерина Михайловна, с новым годом! Спасибо, что вы есть и что вы - с нами! Это примиряет даже с такой действительностью, какая  сложилась в мире по результатам 2021 года. Пожалуйста, оставайтесь воплощением мечты о главе настоящего просвещенного государства 21 века! А там, глядишь, и граждане постепенно подтянутся. Ура! "
498,Спасибо большое. Всем добра!
499,"С Новым Годом, Екатерина Михайловна! ️"
500,"Лучшее поздравление за многие года! Пускай просмотрела я это утром 1го января 2022, но становится тепло на душе от приятных слов, подготовленной и образованный речи!"
501,Золотые слова
502,"Спасибо, Екатерина Михайловна!"
503,"То смешное чувство, когда президента не смотрел и не собираюсь, а Шульман смотрю"
504,"Самое печальное, что этот процесс включения дурочки необратимый. Выжившие из ума, отступите!"
505,"Екатерина, спасибо. Это было очень важно услышать."
506,"Да будет все так.!!!С Новым Годом всех, дорогу осилит идущий!!!"
507,Доброго нового года!️
508,"Послушать: век наш - век свободы,"
509,"Новогоднее поздравление здорового человека.. С Новым годом, Екатерина Михайловна!!"
510,Где-то в паралельной вселенной это - президентское обращение в процветающей Российской Федерации.
511,"Какое счастье, что у нас есть не только телевизор с поздравлением президента."
512,Спасибо за такую достойную альтернативу!
513,Спасибо вам! С новым годом!
514,"с новым годом из Техаса!!! Please post any discussions you have in English about the United States antagonizing war in Ukraine, and any other imperialist action including sanctions. Спасибо!!!"
515,"С Новым годом, уважаемая Екатерина Михайловна! Спасибо вам за вашу деятельность!"
516,"Поднимем же бокалы с чаем с молоком, чтобы настойчивость в себе мы воспитать сумели."
517,"Уважаемая Екатерина Михайловна, здоровья, счастья, успехов и благополучия Вам и Вашим близким! Спасибо за Вашу просветительскую деятельность!"
518,"Уважаемая Екатерина Михайловна, здоровья, счастья, успехов и благополучия Вам и Вашим близким! Спасибо за Вашу просветительскую деятельность! Свободу Навльному и всем политзаключенным!"
519,"Екатерина Михайловна, с Новым Годом. Здоровье всем вашим близким."
520,"Нечаянно посмотрел раньше времени, пришлось в полночь смотреть Масяню. Пересмотрел утром и то, и другое - глубокий смысл схож )"
521,"продолжим мечтать о том, что сбудется... и пусть сбудется то, о чём сейчас мечтается!!!"
522,Очень знакомый формат поздравлять друзей на фоне кремля. Сам этим грешил пару раз 
523,"А ещё ""Perseverance"" - это марсоход, который с собой на Марс притащил целый вертолетик)))"
524,"Желаю всем россиянам посмотреть по всем телеканалам балет ""Лебединое озеро"" в новом, 2022 году."
525,"Благодарю Вас за вашу образованность, культуру,оптимизм, остроумие! Продолжайте также и в следующем году!"
526,"Надеюсь, доживём до такого мудрого президента как Вы."
527,Спасибо!!!
528,"Обращение, которое приятно смотреть."
529,"Новогоднее обращение здорового человека. Приятно слушать, всех с праздниками!"
530,Всех с Новым Годом! Пусть сбудутся все мечты.
531,"Замечательно, спасибо за приятные слова"
532,"С новым годом! Ждём, когда это будет официальным поздравлением. Ну а вдруг"
533,Соглашайтесь на президентство! Вам очень идет!
534,Счастья Вам и процветания!
535,Спасибо большое я вас обожаю вы важнейшее
536,Посмотрела это обращение ровно в 24 часа 31 декабря. Так бы всегда!
537,Счастливого Нового года и Рождества!
538,Ура! Обращение президента здорового человека  Спасибо 
539,"И Вас с наступающим. Спасибо Вам. И спасибо МШ, что соблазнил вас прелестями Ютюбе. "
540,"Уважаемая Екатерина Михайловна! С Новым годом! Как символично здорово Вы смотритесь на фоне  Кремля. Благодаря Вам и таким людям, как Вы, в душе теплится надежда. Будьте здоровы!"
541,Обожаю!!!
542,Вы чудо нашего века!!!!
543,Родная наша!!! Вдохновительница!!! С Новым Годом! Спасибо за все!
544,Всех благ Вам и близким и да восторжествует здравый смысл!
545,"Екатерина, большое Вам спасибо. Очень хотелось в новогоднюю ночь увидеть приятное лицо с обращением. Очень приятный сюрприз. Желаю Вам в Новом году здоровья, той самой настойчивости, больше хороших новостей, и, главное, любви."
546,"Единственное видео обращение, которое смотрю! С новым годом!"
547,С Новым Годом! Да здравствует 1991 год! За свободу! Нет ничего дороже!!!
548,Спасибо️
549,Умничка! Счастья здоровья добра
550,"Ekaterina Mihajlovna, s NOVYM GODOM VAS! Pust' v gråduşih godah RF i russkij åzyk skorej perejdut na latinskuü pis'mennost' "
551,НАДЕЮСЬ В СКОРЕЙШЕМ БУДУЩЕМ УВИДЕМ ВАС НА ВСЕХ ТЕЛЕВИЗОРАХ СТРАНЫ
552,"Спасибо, ЕКАТЕРИНА МИХАЙЛОВНА! А ВЫ КЛАССНО НА ФОНЕ КРЕМЛЯ СМОТРИТЕСЬ. ЗДОРОВЬЯ ВАМ!!!"
553,Огромное спасибо Екатерине Михайловне ха её слова!
554,Допишу в свой список желаний в этом году: Шульман Екатерина президент России! Подпалю и пепел выпью с шампанским! Я не шучу! Всегда работало! Заодно ещё раз проверю... ;) С наступающим всех!
555,"Хочу, чтобы когда-нибудь мы слушали Екатерину не вместо президента, а в качестве президента"
556,"Екатерина, как приятно видеть умного, образованного человека. Как надоел Путин, мы его ненавидим."
557,"Отвечу на это традиционным: ""Екатерину Михайловну в президенты!"". Спасибо Вам!"
558,"Большое вам спасибо, Екатерина Михайловна."
559,"Спасибо за запись поздравления! Вот что нужно всем смотреть, встречая НГ! "
560,"Наш президент , Шульман достойна этого звания."
561,"Надеюсь, что такие видео будут с телевизора на нас смотреть в обозримом будущем..."
562,"Круто, спасибо)"
563,"С Новым годом, Екатерина Михайловна "
564,Смотрела только это обращение! Большое спасибо!
565,"Спасибо, Екатерина Михайловна! Это лучшее обращение, какое только можно придумать!)"
566,Спасибо! С Новым годом!
567,Вы лучшая! Так душевно. Привет из Украины. Спасибо. С Новым Годом!!
568,Спасибо! С Новым годом!
569,"Ну если оценивать как пародию над новогодним обращением президента, то не очень. Но в целом за деятельность - лайк"
570,Ура! С Новым годом! Люблю вас
571,Ни шагу 
572,199
573,"Екатерина Михайловна, ну не прям до слез же людей доводить своим обращением)) С Новым Годом!"
574,Искренне желаю счастья в новом году
575,"""...чтобы не заканчивать на мрачной ноте - 68-ой...""  У меня и многих других людей этот год ассоциируется, прежде всего, с разгромом Пражской весны, оккупацией Чехословакии и окончательным сворачиванием Оттепели. Интересно, что имела в виду Екатерина?"
576,"С новым годом, рада,  что моя первая инфа в этом году от вас)"
577,Хромакей ой... 
578,"Екатерина Михайловна, спасибо вам за все, что вы делаете! За вашу беспристрастность оценок, за неисчерпаемый оптимизм, за интеллигентность и тонкий юмор. Вы луч света в этом царстве! "
579,Екатерину Михайловну- в Президенты!!!  Вы- наша радость.  Здоровья Вам и удачи во всех Ваших начинаниях! УРА!!!
580,"Спасибо, Екатерина Михайловна! С новым годом!"
581,Самое лучшее поздравление из всех 
582,"Нам очень повезло, что вы есть!!!"
583,"Да, мы дожили!!! Шульман в президенты!"
584,С Новым годом!
585,"Екатерина Михайловна! Сердечно благодарен Вам за то, что просвещаете людей, не унываете, не падаете духом в сложных обстоятельствах и заряжаете оптимизмом. Делай, что должно, и будь что будет. Вы - президент моего сердца "
586,Вам идёт! Как бы кто-то не приревновал... С Наступающим!
587,Вот такие поздравления должны идти в Новогоднюю ночь на всех каналах! Верю скоро так и будет!!!
588,ЕМШ наша нашла самые нужные слова для  2021/ 22
589,"С Новым Годом,дорогая Екатерина Михайловна!!!"
590,Благодарю вас и желаю стать президентом!!!
591,"С Новым годом! Да будет свет, да скроется тьма!"
592,"Единственное новогоднее обращение к гражданам, которое я ждала и буду смотреть! "
593,"Вам предстоит побороться с Алексеем Анатольевичем за пост президента РФ, не думайте что так просто всё будет! "
594,Екатерину Михайловну в президенты! Ура! У сновым годом! Спасибо вам за ваш труд и красоту ️
595,"Ну вот это я понимаю. Куда приятнее видеть такое лицо на новогоднем обращении, а не вот то вот все."
596,С Новым годищщем! Это же будет интересный год)
597,С новым годом!! Настойчивости нам всем и  удачи!!!
598,Это самое шикарное поздравление!!! Не отступайте!
599,Спасибо! Так победим!
600,С новым годом! Спасибо вам за ваш труд!
601,Солнышко и умничка. Тоже с Новым Годом.
602,Поздравляю всех с новым годом!
603,Спасибо Вам!
604,Новогоднее обращение здорового человека.
605,Президент нормального человека.
606,"Прекрасное, понятное и приятное поздравление!"
607,"Спасибо, что вы есть!!!"
608,"Выдержал тяжелейший вечер с родственниками, неиронично смотрящими обращение президента и голубые огоньки. А потом пришел домой, посмотрел это обращение, и стало на душе хорошо."
609,"БЕЗ ПЯТИ МИНУТ, Екатерина Михайловна поздравляет мою семью, потому что мы её выбрали! СПАСИБО, ДОРОГАЯ ЕКАТЕРИНА МИХАЙЛОВНА, С НОВЫМ ГОДОМ!"
610,С Новым годом всех. Прорвёмся 
611,"спасибо, с новым годом)"
612,Президент Е.М. Шульман поздравляет своих сограждан с Новым Годом
613,"Екатерина Михайловна, Вы прекрасны! Особенно на фоне Кремля!"
614,Было бы замечательно увидеть это обращение по всем федеральным каналам прямо перед боем курантов
615,С Новым годом! Спасибо! Владимир Владимирович одобрил бы)
616,"Президент моего сердца Екатерина Михайловна! Светлого, радостного, мирного Нового года!"
617,Ой! Как Вам идёт этот фон!!! Символично!!
618,"Спасибо за Ваше поздравление, Вас тоже с Новым годом, пусть он будет началом нового в стране. С Новым годом всех друзей и единомышленников!"
619,"Делай, что будет, и будь, что должно."
620,"Спасибо, глубокоуважаемая Екатерина Михайловна. Низкий поклон и огромная благодарность вам за честность и просвещение."
621,Лучшая! 
622,Лучшее Новогоднее поздравление! Благодарим!!! Да здравствует обновленный 2022!
623,Я захлебнулась водой от другого обращения и пришла послушать что-то сконцентрированно- изящное.  И не ошиблась.
624,"Система не удел, если ты прозрел"
625,"Екатерина Михайловна, а давайте в 24-ом мы за вас проголосуем!! "
626,Прекрасное поздравление! С новым годом!
627,С новым годом Екатерина берегите себя
628,"А все благодаря марсоходу «Настойчивость», люди интересовались больше всего этим словом в словаре))))))"
629,Впервые обошлись без телевизора! Ура!!! С наступившим!!!
630,Новогоднее обращение здорового человека :)
631,"Екатерина Михайловна, спасибо!"
632,"Поздравляю всех подписчиков Екатерины Михайловны с новым, 2022 годом! Желаю всем нам стоического отношения к жизни!"
633,Новогоднее обращение здорового человека. С новым 2022 годом Екатерина Михайловна!
634,Верните елочки на фоне . Спасибо вам!
635,"Ура, верю в Екатерину Михайловну"
636,"Мой первй новый год без путина в телевизоре, мы просто не включали) спасибо вам Екатерина! Медаль за дожитие точно!"
637,"В Президенты! Вы бы отлично смотрелись, и, я уверен, справлялись!)"
638,"Екатерина, спасибо за работу!"
639,Это обращение будущего президента. Спасибо!
640,"Привет из Киева, С Новым Годом Вас, СЧАСТЬЯ ЗОДОРОВЬЯ,  ЛЮБВИ. З НОВИМ РОКОМ , ЩАСТЯ, ЗДОРОВ'Я,  КОХАННЯ"
641,Президент здорового человека
642,С Новым Годом Вас Уважаемая Екатерина Михайловна !
643,Лучшее новогоднее поздравление сейчас. Спасибо 
644,"Дорогая Екатерина Михайловна, желаю нашей стране, чтобы как можно скорее Ваши предновогодние обращения зазвучали по государственным каналам ТВ!"
645,Спасибо!
646,"Новогоднее обращение здорового человека! То, что я готова слушать с превеликим удовольствием и вниманием! Спасибо, Екатерина Михайловна за Ваши труды!"
647,"Катерина при в 5 раз меньшем числе подписчиков чем у Варламова, собриает то же количество просмотров на Новогоднем Обращениии. Браво!"
648,Новогоднее обращение здорового человека
649,Президент здорового человека!
650,"Прекрасное поздравление, но почему так поздно выпущено? Сибирь, Дальний Восток - тут тоже люди живут!"
651,Президент здорового человека!
652,"Ура! Спасибо, Екатерина Михайловна!"
653,"она так умна, и было странно и обидно видеть что весь данный текст она читает"
654,Мне perseverance ближе всего в качестве названия марсианского rower'а и названия локации в RPG. 
655,Спасибо 
656,"Умна, красива, благородна."
657,"Спасибо, спасибо, спасибо"
658,"Екатерина Михайловна, спасибо Вам за активную просветительскую работу в этом году и за объединение гражданского общества! С огромным уважением к Вам! Здоровья Вам и семье!!! С наступающим 2022!"
659,"Это настойчивость, в смысле упорства в достижении цели"
660,Новогоднее обращение здорового человека
661,"С Новым годом, Екатерина Михайловна!"
662,"В прекрасной России будущего, Екатерина наш примьер-министр."
663,Президент здорового человека!!!!
664,Настойчивость! это прямо ответ на мои душевные терзания
665,"Спасибо, мой Президент Катерина Михаллна  "
666,Спасибо за напутствие! Хороший настрой на предстоящий год!
667,"Екатерина Михайловна, ну что же вы обделили слушателей из Восточной Сибири  "
668,"Такое я испытываю желание иметь подобного президента, что даже кушать не могу."
669,"Катя, спасибо!"
670,Загадал чтобы Вы в скором времени поздравляли всех Россиян со всех голубых экранов 
671,Мы как будто уже в 6-ой книге о Гарри Поттере
672,"Спасибо за поздравление, за такие нужные,  придающие силы, слова: ""Делай, что должен и будь, что будет"".  С наступающим 2022 годом!"
673,"начала день 1 января 2022 с этого ролика, улыбнулась"
674,"Екатерина  Михайловна спасибо! Лучше света В темном царстве  ! Будьте  нашей  мечтой, з а гадаем сегодня, что бы она сбылась!"
675,"Я не знаю как, но ваше обращение открылось само и я этому рад"
676,о как!
677,Спасибо!
678,"Екатерина Михайловна, спасибо за то, что весь год дарили мне душевное спокойствие и надежды на светлое будущее! Пусть у вас новый год будет продуктивным, интересным и творческим!"
679,Екатерина -- златоуст. Какое хорошее поздравление!
680,"""Не отступайте""! Отлично сказано ️"
681,Спасибо! Это речь президента моей страны.
682,"Лучшее, что можно услышать под бой курантов."
683,Вдохновляемся вашим примером. С новым годом!
684,БЛАГОДАРЮ! С Новым годом!
685,Спасибо!
686,"Спасибо вам, Екатерина Михайловна, что в этом хаосе помогаете сохранять здравый смысл."
687,Так выглядит новогоднее поздравление здорового человека!
688,Новогоднее обращение здорового человека!
689,"Спасибо. Только имитацию выходящего пара изо рта забыли добавить,  как у пересидента. ;-)"
690,"Уважаемый директор канала! Можно в следующем году выложить пораньше видео, чтобы вся Россия смогла в новогоднюю ночь что-то приличное послушать! А то в этот раз видео вышло уже в пять утра("
691,отличная у нас президентка! Так победим!
692,"Екатерина Михайловна, благодарю Вас за тёплые и вдохновляющие слова, и Ваш незаменимый труд"
693,Новогоднее обращение здорового человека 
694,С Новым годом! ️
695,С наступившим Екатерину Михайловну и всех ее поклонников и слушателей!
696,Огромное спасибо
697,"По телевизору: Новогоднее обращение  курильщика,"
698,блин у меня после обращения Екатерины Михайловны появилось новогоднее настроение! всех подписчиков Екатерины Михайловны с Наступающим и Наступившим Новым годом! Спасибо Екатерина Михайловна!
699,Новогоднее обращение здорового человека)
700,"Ух, Екатерина, до чего ж вы круты! Я даже похвалить вас так не умею, как вы того заслуживаете. Ураааа!!!!"
701,"Мэри Поппинс...надеюсь ветер не переменится...С Новым Годом, Екатерина Михайловна, спасибо!"
702,С новым годом! 
703,"С наступившим новым годом уважаемая Екатерина Михайловна!,"
704,"Прекрасная наша Екатерина Михайловна!!!! Как хорошо, что Вы у нас есть!!!"
705,Мы Вас любим.
706,"Спасибо, Екатерина! И весь год, и в новогоднюю ночь - Ваше присутствие рационализирует стихийные процессы, как минимум в голове, а там, глядишь-и правда, «во всех телевизорах страны». И Вас с Новым!"
707,С Новым Годом)
708,Хочу под этот голос из телевизора загадывать желание в 00:00
709,За сказанное 
710,"Спасибо, что вы есть."
711,"Екатерина Михайловна, с Новым годом!"
712,"Президент, которого мы не заслуживаем, но который очень нам нужен. С наступающим ,Екатерина Михайловна. Здоровья вам, энергии побольше. С праздником!!!"
713,"""Северный флот, только вперёд""))"
714,"Да,президентов много чего то стало!Вот и Масяня поздравляет!"
715,"нету милфы сексапильней, чем Екатерина Шульман"
716,Вот и слово найдено - дожитие. С новым годом!
717,Спасибо большое! Исполнения всех желаний!
718,Вот он наш настоящий президент️ Президентка любимая и уважаемая Екатерина Михайловна...Екатерина Третья️
719,"Спасибо за то, что Вы с нами! С наступающим!"
720,"Спасибо, я сделал для себя выводы"
721,Вот бы это обращение по телевизору показывали
722,"Мощный стимул, чтобы продолжать бухать."
723,"С Новым Годом, товарищи!"
724,С Новым годом!  С новым счастьем.
725,"Какая прелесть спасибо, всех с Новым Годом️"
726,"Катя, счастья тебе!"
727,"Пусть все адекватные будут настойчивы в 2022, иначе долго мы не протянем"
728,"О, Президент, а мы вас ждали!!!"
729,"Даже не ждала НГ по Москве, смотреть на президента нет никакого желания. А могла бы догадаться что будут альтернативы;))) с Новым годом)"
730,"Екатерина, опасные вы ракурсы выбираете для ваших поздравлений. Нынче не те времена, чтобы можно было так откровенно намекать о наболевших вещах!"
731,"Выпью за то, чтобы в ближайшем будущем, Екатерина Михайловна поздравляла нас с Новым годом по телевизору."
732,И без бронежилета даже  Новогоднее обращение нормального человека 
733,Прекрасная речь))
734,А я построил дом сам  и я счастлив смотрите как я это сделал всех с Новым годом
735,Поздравления с героической музыкой.
736,За дожитиеС Новым Годом!
737,Всех шульманологов с наступающим Новым годом! Счастья и бобра дорогие сограждане!
738,Как же я ждал этого.
739,"За 10 минут до наступления Нового года люди должны слышать именно такие слова. Очень человечные, простые, и, при этом, имеющие потрясающий заряд, способность достучаться до сердец. С новым годом вас, со-Граждане. И спасибо каждому за плечо"
740,Вижу вас будущим президентом. Берегите себя
741,Вот он президент здорового человека!
742,"Слушала вместо президента. Надеюсь, это хороший знак. С новым годом!"
743,Настойчивость и упорство.
744,"Ждал ""дорогие россияне"" в приветствии ))"
745,"Спасибо огромное, Екатерина Михайловна! Пусть все добрые мечты свободных мирных людей сбудутся!"
746,"Хорошо, да, это вдохновляет"
747,Подготовка к предстоящим поздравлениям Екатерины в качестве президента:)
748,"С Новым годом, Екатерина Михайловна! С Новым годом, страна!"
749,Спасибо! Лучше и не скажешь!
750,"Лучшая Милфа , что я видел , Екатерина мое почтение"
751,"Екатерина Михайловна,  спасибо за такой чудный сюрприз "
752, поздравляю вас!!!
753,С Новым Годом Екатерина Михайловна!
754,С Новым Годом! Праздник времени продолжается!
755,Лучшее новогоднее обращение всех времен!
756,Пусть она будет первой женщиной президенткой России
757,"Какая радость вас слушать. Спасибо, Екартерина Миахйловна! "
758,Екатерина Михайловна - президент моего сердца .
759,"Уважаемая Екатерина, никто, как Вы не сумели до меня донести, что важнейшая ценность общества - это права человека и каждый может внести свой вклад в это дело. Всех Вам благ, дорогие люди на пути отстаивания своих прав и свобод и в помощи нуждающимся. "
760,Екатерина Михайловна тренируется!!.Шульман в президенты!!!!И заживем наконец-то️
761,"Тут сотни комментариев в духе ""поздравление здорового человека"", но при всем уважении к Екатерине Михайловне скажу, что это кринж."
762,С Новым годом 
763,"А может в скором будущем, у нас будет так выглядеть поздравления президента"
764,"Екатерина Михайловна верю, что увижу Вас на всех федеральных каналах раньше, чем наступит 37"
765,"Лет через 30, найдутся те, кто и нынешние времена назовёт  «Старое доброе время»"
766,С новым годом 
767,"новогоднее обращение президента из альтернативной реальности, в которой россияне любят и уважают свою страну за ее дела"
768,"Спасибо, Екатерина Михайловна! Смотрел вместо Путина."
769,"воу воу, это лучший новогодний подарок!"
770,"Спасибо Вам , Екатерина Михайловна !   С Новым Годом ! Желаю Вам благополучия , успехов и процветания ...!"
771,Вы и красивы и умны а главное несете нам правду Спасибо !!!
772,Екатерине респект! 
773,С такими речами Екатерина Шульман была бы всемилюбимым президентом!
